,max_w,min_w,avg_w,diff_w,std,max ramp,min ramp
86,0.57292848312272,-0.11637609813430251,0.30679275870340966,0.6893045812570225,0.15991396143483014,0.17232614531425564,-0.18351615475024627
87,0.47197446808722404,-0.25825018065149996,0.18756532517145577,0.730224648738724,0.2460309529047728,0.1870087515062586,-0.21595058209651288
88,0.5410565182115548,-0.1451615048860269,0.2600810295874648,0.6862180230975816,0.19545260344014387,0.2815253428092642,-0.17375392251509278
89,0.5715296858783557,-0.1312185503292143,0.22270703958652763,0.70274823620757,0.1843294012495203,0.13413451811430796,-0.24639927784041357
90,0.5545719777339806,-0.12564521370535497,0.27891071145800783,0.6802171914393356,0.18363678194718597,0.203631898074196,-0.24695783383466322
91,0.492023032167654,-0.2681249107879912,0.09835853686123046,0.7601479429556451,0.206543693507658,0.13959080407003666,-0.19072802932341643
92,0.6483002332783636,0.012232079873176673,0.3477223538947827,0.636068153405187,0.164474572206248,0.11773376877932547,-0.1146757488110313
93,0.6067087127155952,-0.09307463206432427,0.23958099735076063,0.6997833447799195,0.19190794259466243,0.12668491586533026,-0.15253898032764257
94,0.5913895623154424,-0.11771735363624919,0.18475084667911335,0.7091069159516916,0.19423538046360744,0.1205201477704456,-0.21721654540022173
95,0.7062188083214251,0.29924525776331573,0.434238118487656,0.4069735505581094,0.1267062341804292,0.15361256565183543,-0.1336628818009477
96,0.5850734816161137,-0.11701469632322276,0.19839991780443858,0.7020881779393365,0.18615413022400643,0.13614209860682647,-0.24190538182204704
97,0.5903355145327155,-0.11129276093649555,0.18155639714368524,0.701628275469211,0.17812998665534482,0.16451973355829777,-0.23468256110521887
98,0.44083030693405084,-0.3073394393413453,0.11382942197827603,0.7481697462753961,0.23742812384330972,0.20799739834212258,-0.19713186260783258
99,0.4298304198269815,-0.3301595978381162,0.15391874333176328,0.7599900176650977,0.24267280048338524,0.10278553517601731,-0.1884401478226984
100,0.7124597277503306,0.19621841682304186,0.3388076929370083,0.5162413109272888,0.1203732773240546,0.1179646434471859,-0.21023401802468772
101,0.7080163138942253,0.2508989850207691,0.4061355716432085,0.4571173288734561,0.11285743708740972,0.16669316128092196,-0.14607132689565325
102,0.7016460250176999,0.2704260721422385,0.4452285106666134,0.4312199528754614,0.1088818236724412,0.1790659126347255,-0.08039694036661145
103,0.594752480847031,-0.1020195861306951,0.277117031830186,0.6967720669777262,0.18304712574122967,0.11178741884533613,-0.16605315614889735
104,0.5922198580459797,-0.1290508944398702,0.1482759420704673,0.7212707524858499,0.19105027615894066,0.13081871491164926,-0.19180852118802627
105,0.4182907936114801,-0.32974748693459743,0.11513174215887759,0.7480382805460776,0.23120686142042496,0.19387930944765683,-0.22899131037124823
106,0.43776994904802435,-0.3283274617860183,0.109802495443789,0.7660974108340427,0.21277478466577823,0.1440032727131659,-0.18864428725424734
107,0.6257809508100168,-0.0387880754634308,0.2235701571850525,0.6645690262734476,0.1530331803683688,0.17196046788787653,-0.24953661881473813
108,0.6030532377561072,-0.06765963155312421,0.22589982056595642,0.6707128693092314,0.15933800793156871,0.19415372532635644,-0.26034249532397796
109,0.651331516239892,0.024303414785070598,0.27979306271312526,0.6270281014548215,0.15148312862995328,0.16404804979922655,-0.23209761119742423
110,0.5703661197004104,-0.1402150044263509,0.18071495980091132,0.7105811241267613,0.1912653736203011,0.13189716518071992,-0.2519117028676813
111,0.5543219679072746,-0.17789867807256718,0.15039743315313653,0.7322206459798417,0.187504931577201,0.1585618652385925,-0.20497021604013177
112,0.49484605320127945,-0.24269519806686954,0.21984402682031365,0.737541251268149,0.20993634998434507,0.15129051308064595,-0.19226502703998757
113,0.6482922430252249,0.07241562289111556,0.42702228419126076,0.5758766201341095,0.1879296316027329,0.1172443418237109,-0.10689925283926582
114,0.6200324385530182,-0.07684909097558534,0.2191217925449692,0.6968815295286034,0.17101677305602492,0.15719132245006093,-0.1484584712028353
115,0.6393621217789502,-0.02480284093107997,0.25698499075813414,0.6641649627100302,0.15478384062850328,0.1474391099791976,-0.1942889206267931
116,0.5701205476020562,-0.16062920190375393,0.1570470952885294,0.7307497495058102,0.19867463707614264,0.11085677314484427,-0.1968273319102337
117,0.5823025610315276,-0.13525925630259894,0.16343826803230704,0.7175618173341265,0.18732049132103337,0.12838166699907697,-0.222375387480544
118,0.6019370193966184,-0.0815527574666386,0.2629429184192217,0.683489776863257,0.16863465136759864,0.12815433316186067,-0.22329921687293905
119,0.4808794047897345,-0.2640667251735536,0.16538915945080465,0.7449461299632881,0.2283503830838043,0.1348130123254458,-0.2154228547468464
120,0.5260379791088307,-0.1783691998127644,0.25344550142887146,0.704407178921595,0.24777951829544734,0.13755590833018272,-0.22522890484832114
121,0.6393066561891119,-0.043079963355061444,0.19852683112790814,0.6823866195441732,0.1696686945217739,0.11631590105866589,-0.20506062557009247
122,0.5763259018614786,-0.1434175055323495,0.18380900979107448,0.719743407393828,0.17029412196337948,0.13146604673798704,-0.2217659576287256
123,0.5189520888120386,-0.19852529572004163,0.242206665611659,0.7174773845320802,0.17179260204752353,0.19852529572004163,-0.2211641452319762
124,0.5658116673386627,-0.1654732234669674,0.14278737831423802,0.7312848908056302,0.18118887951730567,0.13744953239594873,-0.21351383673157084
125,0.47851436073957193,-0.24345467476223837,0.2327860431814219,0.7219690355018104,0.21392463070234483,0.15110979812828587,-0.2602446523320479
126,0.3593747233568477,-0.39801716672855175,0.08549640595989522,0.7573918900853994,0.2510428584747136,0.2067370720386167,-0.16036613999257182
127,0.353871727759177,-0.393632596046725,0.05715624816335022,0.747504323805902,0.28400926989600644,0.18091195070834332,-0.21073260192400428
128,0.47606375004556795,-0.2358874437162724,0.22891804197010981,0.7119511937618404,0.23432859559732042,0.1779877984404601,-0.2680539133139459
129,0.46104164915283063,-0.2593359276484672,0.23512323687264583,0.7203775768012979,0.23389162264843966,0.18009439420032447,-0.2425271175231036
130,0.6914390341823239,0.2640671688334503,0.4695010024818418,0.42737186534887356,0.13656316691765438,0.12682173240027547,-0.11987259637834258
131,0.6780993391441441,0.09814595698138928,0.3717649885658685,0.5799533821627548,0.13851227108279165,0.15168011533487435,-0.11747773638681444
132,0.5579347669639274,-0.16329798057480802,0.17044226722495587,0.7212327475387355,0.20965086752670534,0.11022613688799542,-0.2381428883382617
