Discharge Current (A),Discharge Capacity (mAh),Cell Voltage (V)
3,884.188871,3.749013532
3,924.7699777,3.73573523
3,965.3510845,3.722305278
3,1005.932191,3.708268727
3,1046.513298,3.693777226
3,1087.094405,3.679134075
3,1127.675511,3.664339273
3,1168.256618,3.649544472
3,1208.837725,3.633688121
3,1249.418832,3.617983421
3,1289.999938,3.60243037
3,1330.581045,3.587332269
3,1371.162152,3.571779218
3,1411.743259,3.557742666
3,1452.324365,3.544161065
3,1492.905472,3.530731113
3,1533.486579,3.518514361
3,1574.067686,3.506752559
3,1614.648792,3.496052307
3,1655.229899,3.486413604
3,1695.811006,3.475713351
3,1736.392112,3.466529598
3,1776.973219,3.457042546
3,1817.554326,3.447252193
3,1858.135433,3.43806844
3,1898.716539,3.428884687
3,1939.297646,3.419700934
3,1979.878753,3.410062231
3,2020.45986,3.400575178
3,2061.040966,3.390329876
3,2101.622073,3.380994473
3,2142.20318,3.36999092
3,2182.784287,3.358532418
3,2223.365393,3.346467316
3,2263.9465,3.333643964
3,2304.527607,3.320214013
3,2345.108714,3.305115912
3,2385.68982,3.288652961
3,2426.270927,3.270976811
3,2466.852034,3.250722611
3,2507.43314,3.228800263
3,2548.014247,3.201570165
3,2588.595354,3.16994222
3,2627.331865,3.135573262
3,2662.379184,3.097670141
3,2691.892717,3.061015126
3,2717.717057,3.024738517
3,2738.622476,2.986300938
3,2758.298164,2.947938744
3,2778.588717,2.907721767
3,2795.190079,2.869528175
3,2809.946845,2.830921398
3,2823.122529,2.792407289
3,2835.771186,2.753576537
3,2847.761058,2.721578631
3,2865.588915,2.66068028
3,2880.138568,2.577316559
3,2904.387991,2.498318545
5,12.61737403,4.002383213
5,33.46130612,3.971395507
5,72.56673625,3.944972237
5,113.147843,3.926537837
5,153.7289497,3.912804585
5,194.3100565,3.901649383
5,234.8911632,3.89125243
5,275.4722699,3.881007128
5,316.0533767,3.871520075
5,356.6344834,3.861729722
5,397.2155901,3.85057452
5,437.7966969,3.839419317
5,478.3778036,3.826747616
5,518.9589104,3.814075914
5,559.5400171,3.800039362
5,600.1211238,3.784941261
5,640.7022306,3.76999481
5,681.2833373,3.755200009
5,721.864444,3.740405208
5,762.4455508,3.725155457
5,803.0266575,3.710057356
5,843.6077643,3.695565855
5,884.188871,3.680619404
