Configuration,Vehicle Type,Package,Network Path,Filename,Key,Unique Key,Test Weight lbs,RL A lbf,RL B lbf/mph,RL C lbf/mph2,RL_ADJ A lbf,RL_ADJ B lbf/mph,RL_ADJ C lbf/mph2,RL hp @ 50 mph,Perf Baseline,Perf Neutral,Shift Norm,Transient Penalty,Weight Reduction %,Aero Improvement %,Crr Improvement %,Start Stop,Var Val,DEAC D Cyl.,DEAC C Cyl.,DEAC Time,High Eff. Alt. Regen, ,Electric,Accessory, ,Transmission,Transmission Vintage,Transmission Torque Rating Nm,Gear Count,Gear Ratios,FDR,AVG FDR Efficiency,N/V,N @ 60MPH,Min Speed RPM,Upshift Min Speed RPM,K Factor RPM/sqrt(Nm),Torque Ratio, ,Engine,Engine,Engine Scale %,Engine ES_PCT %,Engine Displacement L,Engine Cylinders,Engine Max Power kW,Engine Max Torque Nm,Engine Inertia kg-m2,Engine Max Eff. %,Engine Min BSFC g/kWh,Engine Fuel ID,Fast Fuel Torque Norm,Engine Refuel Limit g/s,Engine Throttle/Power Time Const secs,Engine Boost secs, ,Idle Speed RPM,Idle Gross Torque Nm,Idle Gross Power kW,Idle Fuel Rate g/s,Idle Efficiency %,Engine Fuel Energy Density MJ/kg,Vehicle Fuel Energy Density MJ/kg, ,FTP Total VOL MPG,FTP Total CFR MPG,FTP GHG gCO2/mi, ,Combined FE VOL MPG,Combined FE CFR MPG,Combined GHG gCO2/mi,Combined Load Factor, ,EPA_FTP_1 VOL MPG,EPA_FTP_2 VOL MPG,EPA_FTP_3 VOL MPG,EPA_HWFET VOL MPG, ,EPA_FTP_1 CFR MPG,EPA_FTP_2 CFR MPG,EPA_FTP_3 CFR MPG,EPA_HWFET CFR MPG, ,EPA_FTP_1 gCO2/mi,EPA_FTP_2 gCO2/mi,EPA_FTP_3 gCO2/mi,EPA_HWFET gCO2/mi, ,EPA_FTP_1 g Fuel,EPA_FTP_2 g Fuel,EPA_FTP_3 g Fuel,EPA_HWFET g Fuel, ,EPA_FTP_1 CFR gals Fuel,EPA_FTP_2 CFR gals Fuel,EPA_FTP_3 CFR gals Fuel,EPA_HWFET CFR gals Fuel, ,EPA_FTP_1dist. mi,EPA_FTP_2dist. mi,EPA_FTP_3dist. mi,EPA_HWFETdist. mi, ,zero to thirty sec,zero to sixty sec,thirty to fifty sec,fifty to seventy sec,quarter mi sec,total performance sec,quarter mile speed MPH,top speed MPH, ,EPA_FTP_1 Crankshaft Work kWh,EPA_FTP_1 Transmission Work kWh,EPA_FTP_1 Engine Efficiency %,EPA_FTP_1 Trans Efficiency %,EPA_FTP_1 J2951 PT Efficiency %,EPA_FTP_1 UpShifts,EPA_FTP_1 DownShifts, ,EPA_FTP_2 Crankshaft Work kWh,EPA_FTP_2 Transmission Work kWh,EPA_FTP_2 Engine Efficiency %,EPA_FTP_2 Trans Efficiency %,EPA_FTP_2 J2951 PT Efficiency %,EPA_FTP_2 UpShifts,EPA_FTP_2 DownShifts, ,EPA_FTP_3 Crankshaft Work kWh,EPA_FTP_3 Transmission Work kWh,EPA_FTP_3 Engine Efficiency %,EPA_FTP_3 Trans Efficiency %,EPA_FTP_3 J2951 PT Efficiency %,EPA_FTP_3 UpShifts,EPA_FTP_3 DownShifts, ,EPA_HWFET Crankshaft Work kWh,EPA_HWFET Transmission Work kWh,EPA_HWFET Engine Efficiency %,EPA_HWFET Trans Efficiency %,EPA_HWFET J2951 PT Efficiency %,EPA_HWFET UpShifts,EPA_HWFET DownShifts, ,Initial Acc. Battery V,Initial Acc. Battery SoC,Max Acc. Battery SoC,Min Acc. Battery SoC,Final Acc. Battery SoC, ,Initial Prop. Battery V,Initial Prop. Battery SoC,EPA_FTP_1 Prop. Battery Delta SoC,EPA_FTP_2 Prop. Battery Delta SoC,EPA_FTP_3 Prop. Battery Delta SoC,EPA_HWFET Prop. Battery Delta SoC,Max Prop. Battery SoC,Min Prop. Battery SoC,Final Prop. Battery SoC, ,FTP Fuel Energy Rate J/m,FTP Engine Energy Rate J/m,FTP Roadload Energy Rate J/m,FTP Engine Efficiency %,FTP Transmission Efficiency %,FTP Target Roadload Energy Rate J/m,FTP Target Total Efficiency %,FTP Target Rel. Efficiency %, ,HWFET Fuel Energy Rate J/m,HWFET Engine Energy Rate J/m,HWFET Roadload Energy Rate J/m,HWFET Engine Efficiency %,HWFET Transmission Efficiency %,HWFET Target Roadload Energy Rate J/m,HWFET Target Total Efficiency %,HWFET Target Rel. Efficiency %, ,Combined Fuel Energy Rate J/m,Combined Engine Energy Rate J/m,Combined Roadload Energy Rate J/m,Combined Engine Efficiency %,Combined Transmission Efficiency %,Combined Target Roadload Energy Rate J/m,Combined Target Total Efficiency %,Combined Target Rel. Efficiency %, ,EPA_FTP_1 Max Engine Speed,EPA_FTP_2 Max Engine Speed,EPA_FTP_3 Max Engine Speed,EPA_HWFET Max Engine Speed,
#,,,,,Key,#,lbs,lbf,lbf/mph,lbf/mph^2,lbf,lbf/mph,lbf/mph^2,hp,#,#,#,#,,,,,,%,%,%,, ,Name,Name, ,Name,,Nm,#,,#,%,#,#,RPM,RPM,RPM/sqrt(Nm),#, ,Filename,Name,%,%,L,#,kW,Nm,kg-m^2,%,g/kWh,ID,#,g/s,secs,secs, ,RPM,Nm,kW,g/s,%,MJ/kg,MJ/kg, ,VOL MPG,CFR MPG,gCO2/mi, ,VOL MPG,CFR MPG,gCO2/mi,norm, ,VOL MPG,VOL MPG,VOL MPG,VOL MPG, ,CFR MPG,CFR MPG,CFR MPG,CFR MPG, ,gCO2/mi,gCO2/mi,gCO2/mi,gCO2/mi, ,g Fuel,g Fuel,g Fuel,g Fuel, ,CFR gals Fuel,CFR gals Fuel,CFR gals Fuel,CFR gals Fuel, ,dist. mi,dist. mi,dist. mi,dist. mi, ,sec,sec,sec,sec,sec,sec,MPH,MPH, ,kWh,kWh,%,%,%,#,#, ,kWh,kWh,%,%,%,#,#, ,kWh,kWh,%,%,%,#,#, ,kWh,kWh,%,%,%,#,#, ,V,%,%,%,%, ,V,%,%,%,%,%,%,%,%, ,J/m,J/m,J/m,%,%,J/m,%,%, ,J/m,J/m,J/m,%,%,J/m,%,%, ,J/m,J/m,J/m,%,%,J/m,%,%, ,RPM,RPM,RPM,RPM,
1,"MPW_LRL",BLF,M:\batch_jobs\110W-KN-SC2825_2018_01_25_11_10_02_MPW_LRL_future_kargul_SAE\,output/2018_01_25_11_11_20_110W-KN-SC2825_ML_10408_110W-KN-SC2825_M_MPW_LRL_future_kargul_SAE_results.csv,'UKN:1 + PKG:BLF + CYC:matrix_alt_drive_cycle + ENG:engine_2013_Chevrolet_Ecotec_LCV_2L5_Tier3 + TRANS:TRX11_FWD + VEH:vehicle_MPW_LRL_FWD + ELEC:electric_EPS_HEA_REGEN + CON:CVM_controls_param + DRV:driver_param + ETW_LBS:3510 + TRGA_LBS:30.62 + TRGB_LBS:-0.0199 + TRGC_LBS:0.01954 + WR_PCT:0 + AE_PCT:0 + RR_PCT:0 + FUEL:MTE_GASOLINE + ES_HP:183.4 + ES_CYL:4 + CC_SEP:1 + PB:1 + FDR_AUTO:1 + TCK_AUTO:1 + TCTR_AUTO:1 + VEH_TYPE:"MPW_LRL" + NTRT:1 + AS:1 + LU:1',1,3510.000000,30.620000,-0.019900,0.019540,0.000000,0.000000,0.000000,10.46,1,0,1,1,0.000000%,0.000000%,0.000000%,0,,0.000000,0.000000,0.000000,0,---,electric_EPS_HEA_REGEN,electric_EPS_HEA_REGEN,---,TRX11_FWD,present,286,6,[4.584 2.965 1.912 1.446 1 0.746],2.894138,100.000000,28.8,1728.1,800.0000,1200.0000,192.1,2.200,---,engine_2013_Chevrolet_Ecotec_LCV_2L5_Tier3,2013 Chevrolet 2.5L Ecotec LCV Engine Tier 3 Fuel converted to 2.44L 4 Cylinder,99.200014,99.200014,2.437344,4.000000,136.8,248.8,0.141707,36.6,226.8,MTE_GASOLINE,0.000000,Inf,0.2,0.5,---,649.819041,16.194694,1.102031,0.150164,16.945364,43.308781,43.308781,---,31.276914,31.127740,285.500974,---,36.982430,36.806044,241.454909,0.038729,---,30.337076,29.985104,34.931228,47.593806,---,30.192384,29.842092,34.764625,47.366809,---,293.034850,296.474553,254.494932,186.785240,---,332.299571,361.384978,288.595608,603.899910,---,0.119182,0.129613,0.103507,0.216593,---,3.598376,3.867931,3.598376,10.259316,---,2.925044,7.216195,3.515745,5.231363,15.728482,31.691785,90.737168,139.990411,---,0.962672,0.775619,24.081021,80.569397,18.690429,24.000000,24.000000,---,1.009574,0.739064,23.221724,73.205540,16.013796,40.000000,40.000000,---,0.965270,0.775632,27.802607,80.353909,21.520678,24.000000,24.000000,---,2.211621,1.858758,30.441942,84.045046,25.345399,11.000000,10.000000,---,12.73,76.80,77.77,76.72,76.85,---,---,---,---,---,---,---,---,---,---,---,2422.012976,591.336242,432.447128,24.415073,73.130496,432.447128,17.854864,48.725816,---,1591.658610,482.220842,401.488368,30.296751,83.258195,401.488368,25.224528,68.837583,---,2048.353511,542.234312,418.515686,26.471715,77.183549,418.515686,20.431809,55.758284,---,3178,2847,3179,2762,
2,"MPW_LRL",1a,M:\batch_jobs\110W-KN-SC2825_2018_01_25_11_10_02_MPW_LRL_future_kargul_SAE\,output/2018_01_25_11_11_20_110W-KN-SC2825_ML_10408_110W-KN-SC2825_M_MPW_LRL_future_kargul_SAE_results.csv,'UKN:2 + PKG:1a + CYC:matrix_alt_drive_cycle + ENG:engine_2013_Ford_EcoBoost_1L6_Tier2 + TRANS:TRX11_FWD + VEH:vehicle_MPW_LRL_FWD + ELEC:electric_HPS + CON:CVM_controls_param + DRV:driver_param + ETW_LBS:3510 + TRGA_LBS:30.62 + TRGB_LBS:-0.0199 + TRGC_LBS:0.01954 + SS:0 + WR_PCT:0 + AE_PCT:0 + RR_PCT:0 + FUEL:MTE_GASOLINE + ES_CYL:4 + DEAC_C_CYL_PCT:0 + CC_SEP:1 + PN:1 + FDR_AUTO:1 + TCK_AUTO:1 + TCTR_AUTO:1 + VEH_TYPE:"MPW_LRL" + NTRT:1 + AS:1 + LU:1 || ES_PCT:99',2,3510.000000,30.620000,-0.019900,0.019540,0.000000,0.000000,0.000000,10.46,0,1,1,1,0.000000%,0.000000%,0.000000%,0,,0.000000,0.000000,0.000000,0,---,electric_HPS,electric_HPS,---,TRX11_FWD,present,301,6,[4.584 2.965 1.912 1.446 1 0.746],3.208488,100.000000,31.9,1915.8,800.0000,1200.0000,187.5,2.200,---,engine_2013_Ford_EcoBoost_1L6_Tier2,2013 Ford EcoBoost 1.6L Tier 2 converted to 1.67L 4 Cylinder,104.531867,99.000000,1.668329,4.000000,139.2,261.4,0.104323,34.8,239.2,MTE_GASOLINE,0.000000,Inf,0.2,0.5,---,685.000005,25.531158,1.831427,0.194924,21.694453,43.308781,43.308781,---,31.089429,30.941149,287.222684,---,36.097170,35.925007,247.376433,0.038045,---,29.874439,30.080771,34.310861,44.945608,---,29.731954,29.937302,34.147217,44.731241,---,297.572800,295.531667,259.096392,197.790638,---,337.379618,360.020072,293.756066,639.466350,---,0.121004,0.129124,0.105358,0.229349,---,3.597672,3.865616,3.597671,10.259069,---,2.802964,7.411034,3.591386,4.856342,15.812568,31.671331,90.120402,134.171279,---,0.965077,0.768203,23.777689,79.600222,18.398973,23.000000,23.000000,---,0.998790,0.726293,23.060790,72.717299,16.064553,45.000000,45.000000,---,0.968355,0.768209,27.401505,79.331346,21.131197,23.000000,23.000000,---,2.252642,1.855062,29.282025,82.350488,23.919272,7.000000,7.000000,---,13.20,99.00,99.00,98.71,98.90,---,---,---,---,---,---,---,---,---,---,---,2436.618896,589.180447,432.371214,24.180246,73.385194,432.371214,17.744721,51.057342,---,1685.439238,491.176872,401.222246,29.142366,81.685899,401.222246,23.805204,68.495326,---,2098.588050,545.078838,418.354178,25.973599,76.751132,418.354178,19.935031,57.359578,---,3453,2597,3453,2427,
5,"MPW_LRL",1a,M:\batch_jobs\110W-KN-SC2825_2018_01_25_11_10_02_MPW_LRL_future_kargul_SAE\,output/2018_01_25_11_11_19_110W-KN-SC2825_ML_11076_110W-KN-SC2825_M_MPW_LRL_future_kargul_SAE_results.csv,'UKN:3 + PKG:1a + CYC:matrix_alt_drive_cycle + ENG:engine_2013_Ford_EcoBoost_1L6_Tier2 + TRANS:TRX11_FWD + VEH:vehicle_MPW_LRL_FWD + ELEC:electric_HPS + CON:CVM_controls_param + DRV:driver_param + ETW_LBS:3510 + TRGA_LBS:30.62 + TRGB_LBS:-0.0199 + TRGC_LBS:0.01954 + SS:0 + WR_PCT:0 + AE_PCT:0 + RR_PCT:0 + FUEL:MTE_GASOLINE + ES_CYL:4 + DEAC_C_CYL_PCT:100 + CC_SEP:1 + PN:1 + FDR_AUTO:1 + TCK_AUTO:1 + TCTR_AUTO:1 + VEH_TYPE:"MPW_LRL" + NTRT:1 + AS:1 + LU:1 || ES_PCT:99',3,3510.000000,30.620000,-0.019900,0.019540,0.000000,0.000000,0.000000,10.46,0,1,1,1,0.000000%,0.000000%,0.000000%,0,,0.000000,100.000000,0.000000,0,---,electric_HPS,electric_HPS,---,TRX11_FWD,present,301,6,[4.584 2.965 1.912 1.446 1 0.746],3.208488,100.000000,31.9,1915.8,800.0000,1200.0000,187.5,2.200,---,engine_2013_Ford_EcoBoost_1L6_Tier2,2013 Ford EcoBoost 1.6L Tier 2 converted to 1.67L 4 Cylinder,104.531867,99.000000,1.668329,4.000000,139.2,261.4,0.104323,34.8,239.2,MTE_GASOLINE,0.000000,Inf,0.2,0.5,---,685.000005,25.531158,1.831427,0.194924,21.694453,43.308781,43.308781,---,32.191059,32.037525,277.393466,---,37.163400,36.986151,240.279124,0.038045,---,30.350855,31.537880,35.173038,45.812230,---,30.206098,31.387462,35.005282,45.593730,---,292.901813,281.877551,252.745307,194.049066,---,332.083786,343.386471,286.555388,627.369674,---,0.119104,0.123158,0.102775,0.225011,---,3.597672,3.865616,3.597671,10.259069,---,2.802964,7.411034,3.591386,4.856342,15.812568,31.671331,90.120402,134.171279,---,0.965077,0.768203,24.156879,79.600222,18.692386,23.000000,23.000000,---,0.998790,0.726293,24.177852,72.717299,16.842718,45.000000,45.000000,---,0.968355,0.768209,28.090061,79.331346,21.662190,23.000000,23.000000,---,2.252642,1.855062,29.846629,82.350488,24.380473,7.000000,7.000000,---,13.20,99.00,99.00,98.71,98.90,---,---,---,---,---,---,---,---,---,---,---,2353.233911,589.180447,432.371214,25.037054,73.385194,432.371214,18.373491,52.866518,---,1653.556071,491.176872,401.222246,29.704277,81.685899,401.222246,24.264206,69.816024,---,2038.378883,545.078838,418.354178,26.740801,76.751132,418.354178,20.523867,59.053853,---,3453,2597,3453,2427,
9,"MPW_LRL",1b,M:\batch_jobs\110W-KN-SC2825_2018_01_25_11_10_02_MPW_LRL_future_kargul_SAE\,output/2018_01_25_11_11_19_110W-KN-SC2825_ML_11164_110W-KN-SC2825_M_MPW_LRL_future_kargul_SAE_results.csv,'UKN:4 + PKG:1b + CYC:matrix_alt_drive_cycle + ENG:engine_2015_Ford_EcoBoost_2L7_Tier2 + TRANS:TRX11_FWD + VEH:vehicle_MPW_LRL_FWD + ELEC:electric_HPS + CON:CVM_controls_param + DRV:driver_param + ETW_LBS:3510 + TRGA_LBS:30.62 + TRGB_LBS:-0.0199 + TRGC_LBS:0.01954 + SS:0 + WR_PCT:0 + AE_PCT:0 + RR_PCT:0 + FUEL:MTE_GASOLINE + ES_CYL:4 + DEAC_C_CYL_PCT:0 + CC_SEP:1 + PN:1 + FDR_AUTO:1 + TCK_AUTO:1 + TCTR_AUTO:1 + VEH_TYPE:"MPW_LRL" + NTRT:1 + AS:1 + LU:1 || ES_PCT:101',4,3510.000000,30.620000,-0.019900,0.019540,0.000000,0.000000,0.000000,10.46,0,1,1,1,0.000000%,0.000000%,0.000000%,0,,0.000000,0.000000,0.000000,0,---,electric_HPS,electric_HPS,---,TRX11_FWD,present,321,6,[4.584 2.965 1.912 1.446 1 0.746],3.366335,100.000000,33.5,2010.1,800.0000,1200.0000,181.4,2.200,---,engine_2015_Ford_EcoBoost_2L7_Tier2,2015 Ford EcoBoost 2.7L Tier 2 converted to 1.48L 4 Cylinder,54.930317,101.000000,1.479823,4.000000,133.1,279.2,0.084977,45.5,182.7,MTE_GASOLINE,0.000000,Inf,0.2,0.5,---,700.000014,27.279898,1.999721,0.174825,26.411339,43.308781,43.308781,---,31.880446,31.728394,280.096121,---,36.788378,36.612917,242.728542,0.039771,---,30.147387,31.239066,34.731004,45.314740,---,30.003601,31.090073,34.565356,45.098613,---,294.878635,284.573821,255.962094,196.179441,---,334.323104,346.722238,290.200700,634.258946,---,0.119907,0.124354,0.104083,0.227481,---,3.597651,3.866186,3.597649,10.259097,---,2.774361,7.415050,3.572812,4.834540,15.854650,31.677052,89.768622,135.778715,---,0.984250,0.769964,24.471775,78.228558,18.568069,25.000000,25.000000,---,1.018332,0.727879,24.413737,71.477567,16.675763,47.000000,47.000000,---,0.988024,0.769961,28.300604,77.929370,21.391106,25.000000,25.000000,---,2.298226,1.855426,30.119846,80.732950,24.114651,7.000000,7.000000,---,13.20,99.00,99.00,98.71,98.90,---,---,---,---,---,---,---,---,---,---,---,2376.161564,600.824636,432.288389,25.285513,71.949178,432.288389,18.192719,39.983429,---,1671.709697,501.114882,401.204480,29.976190,80.062376,401.204480,23.999650,52.745735,---,2059.158224,555.955247,418.300630,26.999151,75.239982,418.300630,20.314157,44.645864,---,3623,2750,3623,2562,
12,"MPW_LRL",1b,M:\batch_jobs\110W-KN-SC2825_2018_01_25_11_10_02_MPW_LRL_future_kargul_SAE\,output/2018_01_25_11_11_19_110W-KN-SC2825_ML_11164_110W-KN-SC2825_M_MPW_LRL_future_kargul_SAE_results.csv,'UKN:5 + PKG:1b + CYC:matrix_alt_drive_cycle + ENG:engine_2015_Ford_EcoBoost_2L7_Tier2 + TRANS:TRX11_FWD + VEH:vehicle_MPW_LRL_FWD + ELEC:electric_HPS + CON:CVM_controls_param + DRV:driver_param + ETW_LBS:3510 + TRGA_LBS:30.62 + TRGB_LBS:-0.0199 + TRGC_LBS:0.01954 + SS:0 + WR_PCT:0 + AE_PCT:0 + RR_PCT:0 + FUEL:MTE_GASOLINE + ES_CYL:4 + DEAC_C_CYL_PCT:100 + CC_SEP:1 + PN:1 + FDR_AUTO:1 + TCK_AUTO:1 + TCTR_AUTO:1 + VEH_TYPE:"MPW_LRL" + NTRT:1 + AS:1 + LU:1 || ES_PCT:101',5,3510.000000,30.620000,-0.019900,0.019540,0.000000,0.000000,0.000000,10.46,0,1,1,1,0.000000%,0.000000%,0.000000%,0,,0.000000,100.000000,0.000000,0,---,electric_HPS,electric_HPS,---,TRX11_FWD,present,321,6,[4.584 2.965 1.912 1.446 1 0.746],3.366335,100.000000,33.5,2010.1,800.0000,1200.0000,181.4,2.200,---,engine_2015_Ford_EcoBoost_2L7_Tier2,2015 Ford EcoBoost 2.7L Tier 2 converted to 1.48L 4 Cylinder,54.930317,101.000000,1.479823,4.000000,133.1,279.2,0.084977,45.5,182.7,MTE_GASOLINE,0.000000,Inf,0.2,0.5,---,700.000014,27.279898,1.999721,0.174825,26.411339,43.308781,43.308781,---,32.818438,32.661912,272.090624,---,37.646058,37.466506,237.198524,0.039771,---,30.541611,32.502186,35.463400,45.898067,---,30.395944,32.347168,35.294259,45.679158,---,291.072412,273.514538,250.675916,193.686162,---,330.007722,333.247017,284.207401,626.198038,---,0.118360,0.119521,0.101933,0.224590,---,3.597651,3.866178,3.597649,10.259097,---,2.774361,7.415050,3.572803,4.834540,15.854650,31.677043,89.768622,135.778715,---,0.984272,0.769972,24.792344,78.227572,18.810886,25.000000,25.000000,---,1.018899,0.728085,25.415077,71.458009,17.350438,47.000000,47.000000,---,0.988048,0.769969,28.898088,77.928323,21.842207,25.000000,25.000000,---,2.298226,1.855426,30.507572,80.732950,24.425073,7.000000,7.000000,---,13.20,99.00,99.00,98.71,98.90,---,---,---,---,---,---,---,---,---,---,---,2308.247899,601.002122,432.293436,26.037157,71.928770,432.293436,18.728207,41.160309,---,1650.463646,501.114882,401.204480,30.362067,80.062376,401.204480,24.308592,53.424719,---,2012.244985,556.052864,418.303405,27.633458,75.227273,418.303405,20.787897,45.687036,---,3623,2750,3623,2562,
16,"MPW_LRL",1c,M:\batch_jobs\110W-KN-SC2825_2018_01_25_11_10_02_MPW_LRL_future_kargul_SAE\,output/2018_01_25_11_11_20_110W-KN-SC2825_ML_5452_110W-KN-SC2825_M_MPW_LRL_future_kargul_SAE_results.csv,'UKN:6 + PKG:1c + CYC:matrix_alt_drive_cycle + ENG:engine_2016_Honda_Turbo_1L5_paper_image + TRANS:TRX11_FWD + VEH:vehicle_MPW_LRL_FWD + ELEC:electric_HPS + CON:CVM_controls_param + DRV:driver_param + ETW_LBS:3510 + TRGA_LBS:30.62 + TRGB_LBS:-0.0199 + TRGC_LBS:0.01954 + SS:0 + WR_PCT:0 + AE_PCT:0 + RR_PCT:0 + FUEL:MTE_GASOLINE + ES_CYL:4 + DEAC_C_CYL_PCT:0 + CC_SEP:1 + PN:1 + FDR_AUTO:1 + TCK_AUTO:1 + TCTR_AUTO:1 + VEH_TYPE:"MPW_LRL" + NTRT:1 + AS:1 + LU:1 || ES_PCT:98',6,3510.000000,30.620000,-0.019900,0.019540,0.000000,0.000000,0.000000,10.46,0,1,1,1,0.000000%,0.000000%,0.000000%,0,,0.000000,0.000000,0.000000,0,---,electric_HPS,electric_HPS,---,TRX11_FWD,present,280,6,[4.584 2.965 1.912 1.446 1 0.746],3.221315,100.000000,32.1,1923.5,800.0000,1200.0000,194.3,2.200,---,engine_2016_Honda_Turbo_1L5_paper_image,Honda 1.5L Downsized Turbocharged Engine from 2016 SAE Paper converted to 1.65L 4 Cylinder,110.495316,98.000000,1.653010,4.000000,143.7,243.2,0.104750,38.0,218.8,MTE_GASOLINE,0.000000,Inf,0.2,0.5,---,630.000011,22.835016,1.506505,0.209932,16.569710,43.308781,43.308781,---,33.191136,33.032832,269.035363,---,39.179047,38.992184,227.917470,0.036840,---,31.960834,32.026713,36.780666,50.261597,---,31.808398,31.873963,36.605243,50.021877,---,278.147326,277.575172,241.698188,176.871029,---,315.480328,338.364001,274.139014,571.853735,---,0.113149,0.121357,0.098322,0.205099,---,3.599096,3.868116,3.599096,10.259454,---,2.877070,7.353319,3.499056,4.854210,15.723040,31.429626,91.252875,140.532546,---,0.954963,0.770147,25.161752,80.646740,19.678952,23.000000,23.000000,---,0.979155,0.727552,24.054360,74.304044,17.099335,46.000000,46.000000,---,0.957213,0.770120,29.024482,80.454345,22.646807,23.000000,23.000000,---,2.236356,1.855542,32.507420,82.971677,26.749719,7.000000,7.000000,---,13.20,99.00,99.00,98.71,98.90,---,---,---,---,---,---,---,---,---,---,---,2282.328960,579.783522,432.258160,25.403153,74.555096,432.258160,18.939345,49.863255,---,1507.176353,487.607373,401.242771,32.352377,82.288085,401.242771,26.622151,70.090445,---,1933.510287,538.304255,418.301235,27.840775,77.707213,418.301235,21.634291,56.958472,---,3532,3623,3532,3070,
19,"MPW_LRL",1c,M:\batch_jobs\110W-KN-SC2825_2018_01_25_11_10_02_MPW_LRL_future_kargul_SAE\,output/2018_01_25_11_11_20_110W-KN-SC2825_ML_8616_110W-KN-SC2825_M_MPW_LRL_future_kargul_SAE_results.csv,'UKN:7 + PKG:1c + CYC:matrix_alt_drive_cycle + ENG:engine_2016_Honda_Turbo_1L5_paper_image + TRANS:TRX11_FWD + VEH:vehicle_MPW_LRL_FWD + ELEC:electric_HPS + CON:CVM_controls_param + DRV:driver_param + ETW_LBS:3510 + TRGA_LBS:30.62 + TRGB_LBS:-0.0199 + TRGC_LBS:0.01954 + SS:0 + WR_PCT:0 + AE_PCT:0 + RR_PCT:0 + FUEL:MTE_GASOLINE + ES_CYL:4 + DEAC_C_CYL_PCT:100 + CC_SEP:1 + PN:1 + FDR_AUTO:1 + TCK_AUTO:1 + TCTR_AUTO:1 + VEH_TYPE:"MPW_LRL" + NTRT:1 + AS:1 + LU:1 || ES_PCT:98',7,3510.000000,30.620000,-0.019900,0.019540,0.000000,0.000000,0.000000,10.46,0,1,1,1,0.000000%,0.000000%,0.000000%,0,,0.000000,100.000000,0.000000,0,---,electric_HPS,electric_HPS,---,TRX11_FWD,present,280,6,[4.584 2.965 1.912 1.446 1 0.746],3.221315,100.000000,32.1,1923.5,800.0000,1200.0000,194.3,2.200,---,engine_2016_Honda_Turbo_1L5_paper_image,Honda 1.5L Downsized Turbocharged Engine from 2016 SAE Paper converted to 1.65L 4 Cylinder,110.495316,98.000000,1.653010,4.000000,143.7,243.2,0.104750,38.0,218.8,MTE_GASOLINE,0.000000,Inf,0.2,0.5,---,630.000011,22.835016,1.506505,0.209932,16.569710,43.308781,43.308781,---,34.307679,34.144050,260.279610,---,40.306649,40.114408,221.541348,0.036841,---,32.452401,33.487872,37.671215,51.262153,---,32.297621,33.328154,37.491544,51.017660,---,273.934135,265.463875,235.984433,173.418789,---,310.702417,323.602002,267.658874,560.692272,---,0.111436,0.116062,0.095998,0.201096,---,3.599105,3.868136,3.599103,10.259458,---,2.877070,7.353319,3.499051,4.854210,15.723040,31.429620,91.252875,140.532546,---,0.955139,0.770305,25.553397,80.648468,19.981744,23.000000,23.000000,---,0.979739,0.727693,25.166672,74.274208,17.879939,46.000000,46.000000,---,0.957420,0.770277,29.733589,80.453458,23.195266,23.000000,23.000000,---,2.236504,1.855558,33.156726,82.966908,27.282229,7.000000,7.000000,---,13.20,99.00,99.00,98.71,98.90,---,---,---,---,---,---,---,---,---,---,---,2208.050589,580.014306,432.264963,26.268162,74.526604,432.264963,19.576769,51.541456,---,1477.758674,487.639467,401.242835,32.998586,82.282683,401.242835,27.152122,71.485744,---,1879.419228,538.445629,418.305005,28.649575,77.687511,418.305005,22.257142,58.598307,---,3532,3623,3532,3087,
